Taipei Songshan Airport	Chongqing Jiangbei International Airport	4
Tianjin Binhai International Airport	Chongqing Jiangbei International Airport	14
Taiyuan Wusu Airport	Chongqing Jiangbei International Airport	6
Ürümqi Diwopu International Airport	Chongqing Jiangbei International Airport	12
Wuhan Tianhe International Airport	Chongqing Jiangbei International Airport	12
Sunan Shuofang International Airport	Chongqing Jiangbei International Airport	8
Xi'an Xianyang International Airport	Chongqing Jiangbei International Airport	20
Xining Caojiabu Airport	Chongqing Jiangbei International Airport	14
Yichang Sanxia Airport	Chongqing Jiangbei International Airport	6
Zhanjiang Airport	Chongqing Jiangbei International Airport	2
Chengdu Shuangliu International Airport	Changsha Huanghua International Airport	12
Fuzhou Changle International Airport	Changsha Huanghua International Airport	12
Kunming Changshui International Airport	Changsha Huanghua International Airport	16
Taoxian Airport	Changsha Huanghua International Airport	2
Wenzhou Yongqiang Airport	Changsha Huanghua International Airport	8
Xiamen Gaoqi International Airport	Changsha Huanghua International Airport	16
Ordos Ejin Horo Airport	Chengdu Shuangliu International Airport	2
Haikou Meilan International Airport	Chengdu Shuangliu International Airport	10
Handan Airport	Chengdu Shuangliu International Airport	2
Baita International Airport	Chengdu Shuangliu International Airport	6
Hefei Luogang International Airport	Chengdu Shuangliu International Airport	9
Hangzhou Xiaoshan International Airport	Chengdu Shuangliu International Airport	18
Chek Lap Kok International Airport	Chengdu Shuangliu International Airport	12
Phuket International Airport	Chengdu Shuangliu International Airport	2
Incheon International Airport	Chengdu Shuangliu International Airport	6
Yinchuan Airport	Chengdu Shuangliu International Airport	6
Xishuangbanna Gasa Airport	Chengdu Shuangliu International Airport	4
Jiuzhai Huanglong Airport	Chengdu Shuangliu International Airport	14
Nanchang Changbei International Airport	Chengdu Shuangliu International Airport	8
Kunming Changshui International Airport	Chengdu Shuangliu International Airport	18
Ganzhou Airport	Chengdu Shuangliu International Airport	2
Longdongbao Airport	Chengdu Shuangliu International Airport	12
Lanzhou Zhongchuan Airport	Chengdu Shuangliu International Airport	8
Lijiang Airport	Chengdu Shuangliu International Airport	10
Mangshi Airport	Chengdu Shuangliu International Airport	2
Lhasa Gonggar Airport	Chengdu Shuangliu International Airport	10
Nyingchi Airport	Chengdu Shuangliu International Airport	8
Melbourne International Airport	Chengdu Shuangliu International Airport	2
Nanjing Lukou Airport	Chengdu Shuangliu International Airport	10
Nanning Wuxu Airport	Chengdu Shuangliu International Airport	6
Beijing Capital International Airport	Chengdu Shuangliu International Airport	12
Shanghai Pudong International Airport	Chengdu Shuangliu International Airport	14
Taoxian Airport	Chengdu Shuangliu International Airport	6
Shijiazhuang Daguocun International Airport	Chengdu Shuangliu International Airport	6
Sanya Phoenix International Airport	Chengdu Shuangliu International Airport	10
Shenzhen Bao'an International Airport	Chengdu Shuangliu International Airport	14
Liuting Airport	Chengdu Shuangliu International Airport	11
Yaoqiang Airport	Chengdu Shuangliu International Airport	15
Taipei Songshan Airport	Chengdu Shuangliu International Airport	2
Tianjin Binhai International Airport	Chengdu Shuangliu International Airport	12
Taiyuan Wusu Airport	Chengdu Shuangliu International Airport	10
Ürümqi Diwopu International Airport	Chengdu Shuangliu International Airport	10
Wenzhou Yongqiang Airport	Chengdu Shuangliu International Airport	8
Wuhan Tianhe International Airport	Chengdu Shuangliu International Airport	14
Sunan Shuofang International Airport	Chengdu Shuangliu International Airport	8
Wanxian Airport	Chengdu Shuangliu International Airport	2
Xichang Qingshan Airport	Chengdu Shuangliu International Airport	6
Xi'an Xianyang International Airport	Chengdu Shuangliu International Airport	16
Xiamen Gaoqi International Airport	Chengdu Shuangliu International Airport	12
Xining Caojiabu Airport	Chengdu Shuangliu International Airport	10
Xuzhou Guanyin Airport	Chengdu Shuangliu International Airport	2
Yichang Sanxia Airport	Chengdu Shuangliu International Airport	2
Yangzhou Taizhou Airport	Chengdu Shuangliu International Airport	2
Taiping Airport	Changzhou Benniu Airport	6
Xiamen Gaoqi International Airport	Changzhou Benniu Airport	4
Zhuhai Jinwan Airport	Changzhou Benniu Airport	2
Taiyuan Wusu Airport	Datong Airport	6
Hangzhou Xiaoshan International Airport	Zhoushuizi Airport	20
Taiping Airport	Zhoushuizi Airport	6
